id_respondente,sexo_desc,escolaridade_desc,raca_desc,religiao_desc,rend1_desc,rend2_desc,regiao_desc,cond_desc,porte_desc,p4_desc,p6a_desc,p6b_desc,p6c_desc,p6d_desc,p6e_desc,idade_num,idade_num_norm,p5_desc
932,MAS,1ª série,Parda,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORTE,INTERIOR,DE 20.001 A 50.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda em parte,Concorda totalmente,Concorda totalmente,Concorda totalmente,32.0,0.21621621621621623,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
933,MAS,3ª série,Branca,Católica Apostólica Romana,MAIS DE 2 A 5,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 10.001 A 20.000,"Precisou fazer, mas não foi nenhuma destas atividades/ Outras",Discorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Discorda totalmente,52.0,0.4864864864864865,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
934,MAS,3ª série,Preta,Assembléia de Deus,MAIS DE 1 A 2,MAIS DE 2 A 5,SUDESTE,CAPITAL,MAIS DE 500.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,50.0,0.45945945945945943,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
935,MAS,8ª série (ou 9º ano),Parda,"Ateu, não tem religião",MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,PERIFERIA,DE 100.001 A 500.000,Não precisou fazer atividade extra,Não sabe/ Não respondeu,Concorda totalmente,Concorda totalmente,Concorda em parte,Concorda totalmente,56.0,0.5405405405405406,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
936,MAS,8ª série (ou 9º ano),Parda,Testemunha de Jeová,NÃO TEM RENDIMENTO PESSOAL,NÃO RESPONDEU,SUDESTE,PERIFERIA,DE 100.001 A 500.000,"Produzir alimentos em casa para vender (bolos, pães, doces, refeições, etc.)",Concorda em parte,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda em parte,64.0,0.6486486486486487,Tenho visto mais pessoas trabalhando nos semáforos/ruas
937,FEM,3ª série,Branca,"Ateu, não tem religião",NÃO TEM RENDIMENTO PESSOAL,MAIS DE 2 A 5,SUDESTE,PERIFERIA,DE 100.001 A 500.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda em parte,Concorda em parte,20.0,0.05405405405405406,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
938,FEM,3ª série,Parda,"Ateu, não tem religião",MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,PERIFERIA,DE 100.001 A 500.000,Não precisou fazer atividade extra,Discorda em parte,Concorda totalmente,Concorda totalmente,Discorda em parte,Concorda totalmente,44.0,0.3783783783783784,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
939,FEM,8ª série (ou 9º ano),Preta,Outras Evangélicas específicas,ATÉ 1,ATÉ 1,SUDESTE,PERIFERIA,DE 100.001 A 500.000,Não precisou fazer atividade extra,Discorda totalmente,Concorda em parte,Concorda em parte,Concorda totalmente,Concorda totalmente,54.0,0.5135135135135136,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
940,FEM,8ª série (ou 9º ano),Branca,Não respondeu,MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,PERIFERIA,DE 100.001 A 500.000,Não precisou fazer atividade extra,"Não concorda, nem discorda",Discorda totalmente,Concorda totalmente,Discorda totalmente,Concorda totalmente,31.0,0.20270270270270274,Tenho visto mais pessoas trabalhando nos semáforos/ruas
941,MAS,3ª série,Parda,"Ateu, não tem religião",MAIS DE 1 A 2,MAIS DE 2 A 5,SUDESTE,PERIFERIA,DE 100.001 A 500.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Discorda em parte,22.0,0.08108108108108109,Não sabe/ Não respondeu
