IDADE,SEXO,ESCOLARIDADE,P1_1,P1_2,P1_3,P2_1,P2_2,P2_3,P2_4,P2_5,P2_6,P2_7,P2_8,P3A,P3B,P3C,P3D,P3E,P3F,P4_1,P4_2,P4_3,P4_4,P4_5,P4_6,P4_7,P4_8,P4_9,P4_10,P5_1,P5_2,P5_3,P5_4,P6A,P6B,P6C,P6D,P6E,RACA_COR,RELIGIÃO,REND1,REND2,REGIAO,COND,PORTE,ID_Ipec,DATA_ENTREVISTA,TIPO_COLETA,id_respondente
29.0,MAS,3ª série,"Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)","Trabalho (no processo de seleção, no dia a dia, na promoção profissional)",Escolas/faculdades e universidades,Escola/Faculdade,No ambiente familiar,Bares e restaurantes,,,,,,,,,,,,Não precisou fazer atividade extra,,,,,,,,,,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade,,,,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Discorda totalmente,Preta,É religioso mas não segue nenhuma/ Agnóstico,MAIS DE 1 A 2,MAIS DE 5 A 10,SUDESTE,INTERIOR,DE 100.001 A 500.000,186642035.0,2023-07-01,Face a face,1076
30.0,MAS,Superior completo,Não existe diferença no tratamento entre pessoas negras e brancas,,,Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,,,,,,,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,,,Concorda totalmente,Não sabe/ Não respondeu,Discorda totalmente,Discorda em parte,Concorda totalmente,Branca,Católica Apostólica Romana,NÃO RESPONDEU,NÃO RESPONDEU,SUDESTE,INTERIOR,DE 100.001 A 500.000,186642036.0,2023-07-01,Face a face,1077
30.0,FEM,Superior incompleto,"Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)",Transporte público,"Trabalho (no processo de seleção, no dia a dia, na promoção profissional)",Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,Não,Não,Não,Não,Não,Não,Não precisou fazer atividade extra,,,,,,,,,,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade,,,,Concorda totalmente,Concorda totalmente,Concorda em parte,Concorda totalmente,Concorda totalmente,Branca,Católica Apostólica Romana,MAIS DE 2 A 5,MAIS DE 2 A 5,CENTRO OESTE,CAPITAL,MAIS DE 500.000,186642433.0,2023-07-03,Face a face,1078
43.0,MAS,3ª série (ou 4º ano),"Trabalho (no processo de seleção, no dia a dia, na promoção profissional)","Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)",Escolas/faculdades e universidades,Trabalho,,,,,,,,,,,,,,Não precisou fazer atividade extra,,,,,,,,,,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade,,,,Concorda totalmente,Concorda em parte,Discorda em parte,Discorda totalmente,Discorda em parte,Branca,Evangelho Quadrangular,MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,CAPITAL,MAIS DE 500.000,186642610.0,2023-07-03,Face a face,1079
17.0,FEM,2ª série,"Local onde mora (rua, vila, condomínio, etc.)",Escolas/faculdades e universidades,Ambiente familiar,Espaços públicos,Escola/Faculdade,No ambiente familiar,,,,,,Não,Não,Não,Sim,Não,Não,Não precisou fazer atividade extra,,,,,,,,,,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade,,,,Concorda em parte,Concorda totalmente,Concorda totalmente,Discorda em parte,Discorda totalmente,Parda,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORDESTE,INTERIOR,DE 50.001 A 100.000,186642741.0,2023-07-03,Face a face,1080
61.0,FEM,7ª série (ou 8º ano),"Rua e espaços públicos de convivência como parques, praças, etc.",Hospitais e postos de saúde,"Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)",Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,Não,Não,Não,Não,Não,Não,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,,,Discorda totalmente,Discorda totalmente,Discorda em parte,Discorda totalmente,Concorda em parte,Preta,Assembléia de Deus,ATÉ 1,ATÉ 1,CENTRO OESTE,CAPITAL,MAIS DE 500.000,186642975.0,2023-07-03,Face a face,1081
50.0,FEM,5ª série (ou 6º ano),Não existe diferença no tratamento entre pessoas negras e brancas,,,Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,Não,Não,Não,Não,Não,Não,Não precisou fazer atividade extra,,,,,,,,,,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade,,,,Concorda em parte,Concorda totalmente,Discorda totalmente,Discorda em parte,Concorda totalmente,Parda,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,CENTRO OESTE,CAPITAL,MAIS DE 500.000,186643072.0,2023-07-03,Face a face,1082
25.0,FEM,3ª série,"Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)",Escolas/faculdades e universidades,Hospitais e postos de saúde,Escola/Faculdade,Shoppings e comércios,,,,,,,Sim,Não,Não,Não,Não,Não,Trabalhar como babá/ cuidar de crianças,,,,,,,,,,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos,,,,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Concorda em parte,Preta,É religioso mas não segue nenhuma/ Agnóstico,ATÉ 1,ATÉ 1,NORDESTE,CAPITAL,MAIS DE 500.000,186643226.0,2023-07-03,Face a face,1083
45.0,FEM,3ª série,Não existe diferença no tratamento entre pessoas negras e brancas,,,Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,Não,Não,Não,Não,Não,Não,Não precisou fazer atividade extra,,,,,,,,,,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade,,,,Discorda totalmente,Discorda totalmente,Discorda totalmente,Discorda totalmente,Discorda totalmente,Parda,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 2 A 5,CENTRO OESTE,CAPITAL,MAIS DE 500.000,186643575.0,2023-07-03,Face a face,1084
47.0,MAS,6ª série (ou 7º ano),Não existe diferença no tratamento entre pessoas negras e brancas,,,Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,,,,,,,Não precisou fazer atividade extra,,,,,,,,,,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade,,,,Discorda totalmente,Discorda totalmente,Discorda totalmente,Discorda totalmente,Discorda totalmente,Branca,Assembléia de Deus,ATÉ 1,ATÉ 1,CENTRO OESTE,CAPITAL,MAIS DE 500.000,186643658.0,2023-07-03,Face a face,1085
38.0,FEM,3ª série,"Rua e espaços públicos de convivência como parques, praças, etc.",Escolas/faculdades e universidades,Transporte público,Shoppings e comércios,,,,,,,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Sim,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,,,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Parda,Evangélica - Não sabe especificar,MAIS DE 2 A 5,MAIS DE 2 A 5,SUDESTE,CAPITAL,MAIS DE 500.000,186643682.0,2023-07-03,Face a face,1086
60.0,FEM,1ª série,Não sabe/ Não respondeu,,,Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,Não,Não,Não,Não,Não,Não,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,,,Não sabe/ Não respondeu,Concorda totalmente,Discorda totalmente,Discorda em parte,Concorda totalmente,Parda,Católica Apostólica Romana,NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,SUDESTE,CAPITAL,MAIS DE 500.000,186643709.0,2023-07-03,Face a face,1087
33.0,FEM,3ª série,"Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)",Hospitais e postos de saúde,"Trabalho (no processo de seleção, no dia a dia, na promoção profissional)",Shoppings e comércios,,,,,,,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,"Bico de serviços gerais, como faxina, manutenção, reformas, jardinagem, “marido de aluguel”, entre outras",,,,,,,,,,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,,,Discorda totalmente,Concorda em parte,"Não concorda, nem discorda",Discorda em parte,Concorda em parte,Parda,Evangelho Quadrangular,ATÉ 1,ATÉ 1,NORTE,INTERIOR,DE 100.001 A 500.000,186643782.0,2023-07-03,Face a face,1088
